Current_Occupancy,Queue_Main_In,Queue_Entrance,Queue_Main_Out,Green_T1,Green_T2,Green_T3
49,1,0,24,10,58,11
33,23,7,6,57,13,16
31,22,4,15,48,31,10
49,17,17,19,10,59,10
19,11,18,22,20,37,29
16,3,4,23,10,58,10
16,4,5,4,29,27,34
50,28,13,6,12,58,10
0,23,10,6,55,11,24
0,10,5,8,40,29,18
58,1,5,0,10,60,10
23,7,10,14,20,40,30
10,27,13,29,33,39,16
42,27,11,5,10,60,10
63,28,15,6,11,59,11
28,6,15,19,12,41,32
43,25,10,1,10,58,10
28,7,1,8,41,46,10
9,11,6,24,26,50,15
41,6,7,8,10,60,10
6,17,14,5,43,14,35
1,16,2,17,42,44,10
23,24,0,20,50,39,10
19,0,18,3,12,10,58
12,6,7,20,18,55,17
19,27,8,12,53,22,15
5,13,4,24,27,54,10
30,11,18,15,22,28,35
24,14,15,1,41,12,45
39,5,14,6,12,60,10
64,23,16,0,10,60,10
52,10,19,22,10,59,10
32,4,7,15,11,50,26
8,14,0,28,30,59,10
2,5,5,15,17,53,20
3,4,3,6,28,41,21
20,8,1,4,53,25,10
10,18,12,0,54,10,35
27,8,5,12,27,43,18
55,6,14,4,10,59,10
47,13,0,5,10,59,11
36,5,2,13,10,60,11
46,16,12,0,10,60,10
32,12,9,7,36,22,27
31,5,1,28,12,59,11
46,22,14,15,12,58,10
25,3,6,25,10,59,14
48,2,3,20,10,59,10
5,29,2,20,52,33,10
37,16,8,4,10,60,10
32,29,6,26,41,37,10
11,27,17,30,31,35,22
20,16,3,25,34,52,10
38,6,2,30,11,60,10
34,4,20,10,11,26,51
42,17,14,23,10,60,11
63,18,8,4,10,60,10
46,14,4,4,12,60,12
4,23,19,8,43,15,34
43,8,14,20,10,58,10
4,5,13,3,19,14,57
15,18,16,13,35,22,31
52,26,5,22,10,60,10
5,7,20,27,13,44,35
65,5,17,30,10,60,10
18,17,6,13,43,33,16
57,20,4,19,10,60,11
20,26,20,24,35,32,23
33,23,17,7,42,15,34
40,28,11,29,10,58,11
56,17,14,6,12,60,10
61,26,18,2,10,60,10
40,1,14,20,10,60,10
24,14,12,27,22,47,18
50,22,6,30,11,60,10
9,1,18,5,10,16,58
16,7,1,18,24,60,12
32,26,2,11,60,25,12
26,13,15,26,20,45,25
49,17,7,0,10,60,10
16,29,19,14,41,21,28
58,20,12,2,11,59,10
53,27,9,5,11,58,10
53,20,15,7,10,60,10
19,6,13,5,23,18,49
2,23,20,0,50,10,42
40,18,16,13,10,59,10
1,7,6,24,17,57,16
44,2,14,5,10,60,10
11,12,12,30,19,49,20
10,14,17,11,31,22,38
11,25,20,3,47,10,38
57,8,1,28,12,60,10
31,21,1,27,37,47,10
36,7,5,29,10,58,12
16,12,8,18,28,41,19
26,3,12,29,10,57,25
16,15,6,3,55,10,22
39,26,5,8,10,60,10
55,9,3,20,11,60,10
22,0,20,25,10,52,38
37,26,15,4,10,60,11
24,10,17,11,24,25,41
17,2,6,23,11,58,18
10,6,17,30,10,49,26
48,21,14,15,11,60,10
49,7,5,23,10,58,10
32,7,0,22,22,59,10
53,1,10,4,10,59,10
22,25,0,6,58,18,11
17,11,13,23,23,42,26
25,26,1,9,60,20,10
4,24,6,3,60,10,16
37,21,5,4,10,58,10
27,19,15,18,31,29,24
18,7,12,5,26,16,43
60,0,14,24,10,60,10
13,4,8,16,14,52,24
59,2,2,17,12,59,10
41,28,10,2,10,58,10
28,18,3,26,34,50,10
15,3,12,17,11,45,35
19,26,12,0,59,12,30
57,1,19,6,10,59,11
23,7,16,16,16,36,37
31,6,10,26,10,56,22
7,10,10,12,28,33,29
52,23,0,27,10,60,10
55,5,17,25,10,58,10
16,12,11,13,30,32,27
43,17,10,0,10,60,12
14,15,1,4,59,16,10
45,11,5,22,11,60,11
36,9,14,27,10,58,10
9,25,15,0,56,11,35
35,0,8,4,10,28,60
15,25,15,2,54,10,31
53,11,1,24,10,60,12
45,27,19,16,10,60,12
7,9,0,26,21,58,10
39,25,8,18,12,59,11
4,28,6,5,60,12,11
48,16,17,30,11,60,11
6,0,5,13,10,58,24
62,2,18,5,10,60,12
61,21,14,24,10,59,10
64,21,14,21,10,60,11
55,11,15,13,10,59,10
52,18,0,8,12,60,10
63,3,20,11,10,60,12
24,12,10,23,22,45,20
17,18,8,13,39,30,19
22,14,17,1,39,11,49
55,15,13,24,10,59,10
39,2,19,22,10,58,12
30,25,0,21,50,40,10
24,1,11,2,10,12,58
3,22,1,30,36,48,11
11,0,0,8,10,60,11
59,10,20,15,10,60,11
62,20,4,12,11,58,11
8,9,13,28,18,50,23
15,26,1,5,60,13,10
4,12,0,28,27,60,10
36,28,10,28,12,60,10
33,25,16,13,39,22,24
33,0,12,1,11,10,59
60,27,11,13,10,58,10
40,1,12,8,10,60,11
63,25,16,11,10,60,12
11,28,14,13,47,19,24
30,6,5,29,15,59,10
53,0,9,11,10,60,10
54,13,12,25,12,60,10
30,11,3,5,52,22,16
60,2,4,23,10,60,10
12,18,8,2,55,10,25
15,21,7,22,38,38,11
8,18,16,8,39,19,34
47,24,5,5,10,60,12
54,8,5,14,10,60,10
11,25,4,4,60,10,10
6,17,8,30,28,51,12
12,29,20,0,55,10,34
30,20,20,20,30,28,28
42,12,17,24,10,58,12
53,1,14,4,11,60,11
14,4,2,16,14,60,10
5,23,2,2,60,10,11
55,25,4,20,10,59,10
49,13,11,8,11,58,10
2,28,17,13,43,20,24
3,16,6,13,40,34,14
18,22,15,20,36,31,23
23,16,1,27,30,54,10
9,21,3,25,40,46,10
42,22,4,20,10,60,12
3,11,1,20,28,57,11
31,0,16,6,10,26,60
65,17,10,18,10,60,11
52,15,5,15,10,60,10
47,6,4,5,12,60,10
41,14,14,0,10,58,10
50,2,13,29,12,60,10
48,6,0,10,10,60,10
53,2,17,10,10,60,10
24,10,10,22,19,49,22
5,22,4,29,38,49,10
62,14,15,10,12,59,10
5,3,1,23,10,60,11
51,5,7,19,11,59,10
7,30,20,4,51,10,33
32,28,9,1,59,12,20
20,17,14,6,43,15,35
5,16,0,22,38,52,10
46,11,11,11,10,60,10
48,4,8,2,10,60,10
47,16,3,28,12,58,12
42,11,2,19,11,59,12
33,16,11,24,27,41,19
15,28,15,11,48,19,27
1,22,3,0,60,11,10
24,29,13,21,41,30,18
31,27,0,8,60,20,10
46,6,19,2,11,60,10
3,5,2,5,38,37,17
36,30,2,16,10,58,10
42,12,16,23,10,59,10
10,7,11,27,12,54,20
46,7,9,9,11,58,10
8,6,19,26,11,44,31
42,21,6,17,12,58,10
60,9,9,7,10,60,12
31,25,4,20,44,37,12
18,7,2,14,26,56,10
27,1,20,8,12,24,59
19,4,1,5,35,46,10
25,26,12,11,46,21,22
32,29,14,20,41,29,21
8,1,17,13,10,39,49
17,11,5,24,25,54,12
32,1,2,11,10,58,13
31,24,8,4,60,12,21
53,14,12,12,10,60,10
59,1,4,19,12,60,10
3,28,14,12,44,22,25
40,21,3,16,12,60,10
50,12,9,22,10,59,10
20,29,6,26,42,39,10
1,4,4,1,38,10,42
7,3,7,1,23,10,56
29,0,13,11,10,42,50
46,7,3,13,11,60,10
53,10,12,27,11,60,10
39,24,3,20,11,60,11
56,19,10,4,10,60,12
43,28,12,30,10,60,10
31,16,18,16,26,29,30
20,28,13,27,39,34,18
19,25,5,28,39,43,10
28,11,16,26,17,45,27
38,9,10,1,12,60,10
23,19,7,0,60,10,24
12,22,9,26,34,41,13
18,6,7,27,11,60,17
21,13,15,6,34,15,41
55,17,4,28,12,60,11
54,5,1,16,11,59,10
5,22,10,27,32,42,17
26,22,12,0,58,11,32
11,7,10,1,35,10,52
43,5,7,30,11,58,10
22,27,13,0,60,10,31
10,29,0,18,56,36,10
17,11,9,23,22,47,16
42,0,8,14,10,60,10
8,8,7,24,16,57,17
36,16,10,13,11,60,10
36,19,20,6,11,60,10
35,26,11,1,60,10,27
17,17,3,15,43,38,10
19,9,6,11,31,39,19
53,8,8,20,11,60,10
53,11,19,13,10,60,10
39,27,7,8,10,60,10
17,0,7,7,10,46,45
52,21,2,15,10,60,11
48,9,20,19,11,60,12
21,24,10,0,60,10,27
65,20,5,13,10,58,10
6,20,18,8,38,16,37
42,21,11,21,10,60,11
9,27,4,3,60,10,10
19,5,6,25,13,60,13
7,16,17,1,40,12,47
40,23,5,6,10,60,10
60,5,8,21,12,59,10
53,12,4,25,10,58,12
32,26,2,25,45,44,10
9,25,18,3,47,11,37
53,22,18,13,12,58,10
15,4,4,23,12,60,10
14,23,9,13,44,23,18
40,12,5,26,10,60,11
34,2,10,15,10,50,33
1,11,8,3,44,13,31
42,8,19,2,10,58,10
41,8,8,18,11,60,11
51,27,9,0,10,60,10
47,18,19,28,12,60,10
10,15,10,9,40,25,26
18,21,10,27,30,42,16
14,13,9,26,25,49,17
6,13,18,3,32,12,45
48,22,16,20,11,60,10
5,30,16,10,48,14,27
18,24,20,16,35,22,28
9,25,12,19,39,31,21
34,12,18,5,28,11,47
15,20,2,9,58,28,10
18,14,7,7,46,23,20
5,27,20,25,35,33,26
40,7,5,10,10,58,10
49,19,14,1,11,60,10
19,5,10,22,12,53,26
37,30,8,10,10,59,12
47,12,4,12,10,60,10
34,19,1,16,47,40,10
54,30,11,28,10,60,10
10,15,0,0,58,10,10
22,13,20,14,23,28,39
7,29,16,7,52,12,27
19,15,2,14,43,38,12
64,17,15,25,10,60,10
48,11,18,27,12,60,11
1,14,10,23,26,43,21
65,17,10,9,11,60,11
